epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
1960/61,1961-09-20,D,TC,F,Benfica,(N),Peñarol,2-1,90,1,1,1
1960/61,1961-09-24,V,D1,R1,Benfica,(F),Leixões,1-2,90,2,2,3
1960/61,1961-10-01,V,D1,R2,Benfica,(C),SC Salgueiros,8-1,90,4,3,7
1960/61,1961-10-08,D,ECM,6,Portugal,(F),Luxemburgo,4-2,90,1,4,8
1960/61,1961-10-15,E,D1,R3,Benfica,(F),Olhanense,1-1,90,1,5,9
1960/61,1961-10-25,D,ECM,6,Portugal,(F),Inglaterra,2-0,90,0,6,9
1960/61,1961-10-28,E,D1,R4,Benfica,(C),SC Covilhã,1-1,90,0,7,9
1960/61,1961-10-31,E,UCL,1R,Benfica,(F),Austria Wien,1-1,90,0,8,9
1960/61,1961-11-05,D,D1,R5,Benfica,(F),Académica OAF,3-1,90,0,9,9
1960/61,1961-11-08,V,UCL,1R,Benfica,(C),Austria Wien,5-1,90,1,10,10
1960/61,1961-11-12,E,D1,R6,Benfica,(C),Belenenses,0-0,90,0,11,10
1960/61,1961-12-03,D,D1,R8,Benfica,(F),FC Porto,2-1,90,0,12,10
1960/61,1962-02-11,V,D1,R16,Benfica,(C),Olhanense,4-2,90,0,13,10
1960/61,1962-02-18,D,D1,R17,Benfica,(F),SC Covilhã,2-1,90,0,14,10
1960/61,1962-02-22,V,UCL,QF,Benfica,(C),FC Nürnberg,6-0,90,2,15,12
1960/61,1962-02-25,D,TP,1/16,Benfica,(F),Fabril Barreiro,3-2,90,2,16,14
1960/61,1962-02-27,V,TP,1/16,Benfica,(C),Fabril Barreiro,2-0,90,1,17,15
1960/61,1962-03-04,V,D1,R18,Benfica,(C),Académica OAF,4-2,90,1,18,16
1960/61,1962-03-11,E,D1,R19,Benfica,(F),Belenenses,2-2,90,0,19,16
1960/61,1962-03-18,V,D1,R20,Benfica,(F),Lusitano GC,0-1,90,0,20,16
1960/61,1962-03-21,V,UCL,SF,Benfica,(C),Tottenham,3-1,90,0,21,16
1960/61,1962-03-25,E,TP,1/8,Benfica,(F),FC Porto,2-2,90,0,22,16
1960/61,1962-04-01,E,D1,R21,Benfica,(C),FC Porto,1-1,90,0,23,16
1960/61,1962-04-05,D,UCL,SF,Benfica,(F),Tottenham,2-1,90,0,24,16
1960/61,1962-04-08,V,D1,R22,Benfica,(F),Atlético CP,0-3,90,0,25,16
1960/61,1962-04-15,E,D1,R23,Benfica,(C),Fabril Barreiro,1-1,90,0,26,16
