epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
2015/16,2015-12-02,E,D1,R16,Monaco,(C),Caen,1-1,2,0,1,0
2015/16,2015-12-10,D,EL,J,Monaco,(F),Tottenham,4-1,34,0,2,0
2015/16,2015-12-13,V,D1,R18,Monaco,(C),Saint-Étienne,1-0,20,0,3,0
2015/16,2015-12-16,D,CL,1/8,Monaco,(F),Bordeaux,3-0,90,0,4,0
2015/16,2016-01-20,V,CF,1/16,Monaco,(F),Thonon Evian GG FC,1-3 (a.p.),83,0,5,0
2015/16,2016-01-24,V,D1,R22,Monaco,(C),Toulouse,4-0,5,0,6,0
2015/16,2016-02-14,E,D1,R26,Monaco,(F),Saint-Étienne,1-1,12,0,7,0
2015/16,2016-02-20,V,D1,R27,Monaco,(C),Troyes,3-1,17,1,8,1
2015/16,2016-02-28,E,D1,R28,Monaco,(F),Nantes,0-0,90,0,9,1
2015/16,2016-03-04,E,D1,R29,Monaco,(F),Caen,2-2,2,0,10,1
2015/16,2016-03-11,E,D1,R30,Monaco,(C),Stade de Reims,2-2,4,0,11,1
2015/16,2016-03-20,V,D1,R31,Monaco,(F),PSG,0-2,81,0,12,1
2015/16,2016-03-24,V,U19,7,França,(N),Montenegro,1-0,77,0,13,1
2015/16,2016-03-26,V,U19,7,França,(N),Dinamarca,4-0,62,1,14,2
2015/16,2016-03-29,V,U19,7,França,(N),Sérvia,0-1,90,1,15,3
2015/16,2016-04-01,D,D1,R32,Monaco,(C),Bordeaux,1-2,25,0,16,3
2015/16,2016-04-10,D,D1,R33,Monaco,(F),Lille,4-1,31,0,17,3
2016/17,2016-07-12,D,S19,B,França,(N),Inglaterra,1-2,60,0,18,3
2016/17,2016-07-15,V,S19,B,França,(N),Croácia,0-2,89,1,19,4
2016/17,2016-07-18,V,S19,B,França,(N),Holanda,1-5,90,2,20,6
2016/17,2016-07-21,V,S19,SF,França,(N),Portugal,1-3,80,2,21,8
2016/17,2016-07-24,V,S19,F,França,(N),Itália,4-0,90,0,22,8
2016/17,2016-08-12,E,D1,R1,Monaco,(C),Guingamp,2-2,41,0,23,8
2016/17,2016-09-27,E,UCL,E,Monaco,(C),Bayer Leverkusen,1-1,13,0,24,8
2016/17,2016-10-01,V,D1,R8,Monaco,(F),Metz,0-7,8,0,25,8
2016/17,2016-10-18,E,UCL,E,Monaco,(F),CSKA Moskva,1-1,7,0,26,8
2016/17,2016-10-21,V,D1,R10,Monaco,(C),Montpellier,6-2,90,1,27,9
2016/17,2016-10-29,E,D1,R11,Monaco,(F),Saint-Étienne,1-1,85,0,28,9
2016/17,2016-11-02,V,UCL,E,Monaco,(C),CSKA Moskva,3-0,5,0,29,9
2016/17,2016-11-05,V,D1,R12,Monaco,(C),Nancy,6-0,26,1,30,10
2016/17,2016-11-18,V,D1,R13,Monaco,(F),FC Lorient,0-3,63,0,31,10
2016/17,2016-11-29,E,D1,R15,Monaco,(F),Dijon,1-1,7,0,32,10
2016/17,2016-12-03,V,D1,R16,Monaco,(C),Bastia,5-0,79,1,33,11
2016/17,2016-12-10,V,D1,R17,Monaco,(F),Bordeaux,0-4,8,0,34,11
2016/17,2016-12-14,V,CL,1/8,Monaco,(C),Rennes,7-0,90,3,35,14
2016/17,2016-12-18,D,D1,R18,Monaco,(C),Lyon,1-3,13,0,36,14
2016/17,2016-12-21,V,D1,R19,Monaco,(C),Caen,2-1,80,0,37,14
2016/17,2017-01-06,V,CF,1/32,Monaco,(C),AC Ajaccio,2-1,90,0,38,14
2016/17,2017-01-15,V,D1,R20,Monaco,(F),Marseille,1-4,1,0,39,14
2016/17,2017-01-22,V,D1,R21,Monaco,(C),FC Lorient,4-0,16,0,40,14
2016/17,2017-01-25,V,CL,SF,Monaco,(C),Nancy,1-0,88,0,41,14
2016/17,2017-01-29,E,D1,R22,Monaco,(F),PSG,1-1,1,0,42,14
2016/17,2017-02-01,V,CF,1/16,Monaco,(F),FC Chambly,4-5 (a.p.),120,1,43,15
2016/17,2017-02-04,V,D1,R23,Monaco,(C),Nice,3-0,1,0,44,15
