epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
2004/05,2004-10-16,V,D1,R7,Barcelona,(F),Espanyol,0-1,7,0,1,0
2004/05,2004-10-24,V,D1,R8,Barcelona,(C),Osasuna,3-0,18,0,2,0
2004/05,2004-10-27,D,CR,1/32,Barcelona,(F),Gramenet,1-0 (a.p.),75,0,3,0
2004/05,2004-12-04,V,D1,R14,Barcelona,(C),Málaga,4-0,7,0,4,0
2004/05,2004-12-07,D,UCL,F,Barcelona,(F),Shakhtar Donetsk,2-0,90,0,5,0
2004/05,2004-12-11,V,D1,R15,Barcelona,(F),Albacete,1-2,1,0,6,0
2004/05,2004-12-21,V,D1,R17,Barcelona,(C),Levante,2-1,32,0,7,0
2004/05,2005-04-17,V,D1,R32,Barcelona,(C),Getafe,2-0,4,0,8,0
2004/05,2005-05-01,V,D1,R34,Barcelona,(C),Albacete,2-0,2,1,9,1
2005/06,2005-06-11,D,S20,D,Argentina,(N),Estados Unidos,0-1,45,0,10,1
2005/06,2005-06-14,V,S20,D,Argentina,(N),Egito,0-2,84,1,11,2
2005/06,2005-06-18,V,S20,D,Argentina,(N),Alemanha,1-0,82,0,12,2
2005/06,2005-06-22,V,S20,1/8,Argentina,(N),Colômbia,1-2,90,1,13,3
2005/06,2005-06-25,V,S20,QF,Argentina,(N),Espanha,3-1,90,1,14,4
2005/06,2005-06-28,V,S20,SF,Argentina,(N),Brasil,1-2,90,1,15,5
2005/06,2005-07-02,V,S20,F,Argentina,(N),Nigéria,2-1,90,2,16,7
2004/05,2005-08-16,V,AMI,JA,Argentina,(F),Hungria,1-2,1,0,17,7
2005/06,2005-09-03,D,ECM,R16,Argentina,(F),Paraguai,1-0,10,0,18,7
2005/06,2005-09-14,V,UCL,C,Barcelona,(F),Werder Bremen,0-2,24,0,19,7
2005/06,2005-09-27,V,UCL,C,Barcelona,(C),Udinese,4-1,69,0,20,7
2005/06,2005-10-01,E,D1,R6,Barcelona,(C),Real Zaragoza,2-2,23,0,21,7
2005/06,2005-10-09,V,ECM,R17,Argentina,(C),Peru,2-0,90,0,22,7
2005/06,2005-10-12,D,ECM,R18,Argentina,(F),Uruguai,1-0,25,0,23,7
2005/06,2005-10-18,E,UCL,C,Barcelona,(F),Panathinaikos,0-0,23,0,24,7
2005/06,2005-10-22,V,D1,R8,Barcelona,(C),Osasuna,3-0,90,0,25,7
2005/06,2005-10-26,V,D1,R11,Barcelona,(C),Málaga,2-0,28,0,26,7
2005/06,2005-11-02,V,UCL,C,Barcelona,(C),Panathinaikos,5-0,90,1,27,8
2005/06,2005-11-06,V,D1,R10,Barcelona,(F),Getafe,1-3,21,0,28,8
2004/05,2005-11-15,V,AMI,JA,Argentina,(F),Catar,0-3,81,0,29,8
2005/06,2005-11-19,V,D1,R12,Barcelona,(F),Real Madrid,0-3,70,0,30,8
2005/06,2005-11-27,V,D1,R13,Barcelona,(C),Racing Santander,4-1,67,1,31,9
2005/06,2005-12-04,V,D1,R14,Barcelona,(F),Villarreal,0-2,81,0,32,9
2005/06,2005-12-11,V,D1,R15,Barcelona,(C),Sevilla,2-1,63,0,33,9
2005/06,2005-12-17,V,D1,R16,Barcelona,(F),Cádiz,1-3,82,0,34,9
2005/06,2005-12-20,V,D1,R17,Barcelona,(C),Celta de Vigo,2-0,67,0,35,9
2005/06,2006-01-07,V,D1,R18,Barcelona,(F),Espanyol,1-2,78,0,36,9
2005/06,2006-01-15,V,D1,R19,Barcelona,(C),Athletic Bilbao,2-1,83,1,37,10
2005/06,2006-01-22,V,D1,R20,Barcelona,(C),Alavés,2-0,17,1,38,11
2005/06,2006-01-26,D,CR,QF,Barcelona,(F),Real Zaragoza,4-2,90,0,39,11
2005/06,2006-01-29,V,D1,R21,Barcelona,(F),Mallorca,0-3,17,2,40,13
2005/06,2006-02-01,V,CR,QF,Barcelona,(C),Real Zaragoza,2-1,90,1,41,14
2005/06,2006-02-05,D,D1,R22,Barcelona,(C),Atlético de Madrid,1-3,45,0,42,14
2005/06,2006-02-18,V,D1,R24,Barcelona,(C),Real Betis,5-1,13,1,43,15
2005/06,2006-02-22,V,UCL,1/8,Barcelona,(F),Chelsea,1-2,90,0,44,15
2005/06,2006-02-25,V,D1,R25,Barcelona,(F),Real Zaragoza,0-2,70,0,45,15
2005/06,2006-03-01,D,AMI,JA,Argentina,(N),Croácia,3-2,90,1,46,16
2005/06,2006-03-07,E,UCL,1/8,Barcelona,(C),Chelsea,1-1,25,0,47,16
2005/06,2006-05-30,V,AMI,JA,Argentina,(C),Angola,2-0,27,0,48,16
2005/06,2006-06-16,V,CM,C,Argentina,(N),Sérvia e Montenegro,6-0,16,1,49,17
2005/06,2006-06-21,E,CM,C,Argentina,(N),Holanda,0-0,69,0,50,17
2005/06,2006-06-24,V,CM,1/8,Argentina,(N),México,2-1 (a.p.),36,0,51,17
2006/07,2006-08-17,V,SC,F,Barcelona,(F),Espanyol,0-1,30,0,52,17
2006/07,2006-08-20,V,SC,F,Barcelona,(C),Espanyol,3-0,90,0,53,17
2006/07,2006-08-25,D,SCE,F,Barcelona,(N),Sevilla,0-3,90,0,54,17
2006/07,2006-08-28,V,D1,R1,Barcelona,(F),Celta de Vigo,2-3,90,1,55,18
2005/06,2006-09-03,D,AMI,JA,Argentina,(C),Brasil,0-3,90,0,56,18
2006/07,2006-09-09,V,D1,R2,Barcelona,(C),Osasuna,3-0,90,1,57,19
2006/07,2006-09-17,V,D1,R3,Barcelona,(F),Racing Santander,0-3,65,0,58,19
