epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
1956,1957-04-26,V,TRS,C,Santos,(C),São Paulo,3-1,90,1,1,1
1956,1957-05-01,E,TRS,C,Santos,(C),Corinthians,1-1,90,0,2,1
1956,1957-05-05,D,TRS,C,Santos,(F),Flamengo,4-0,90,0,3,1
1956,1957-05-09,D,TRS,C,Santos,(F),Portuguesa,4-2,90,0,4,1
1956,1957-05-11,V,TRS,C,Santos,(C),Botafogo,5-1,90,0,5,1
1956,1957-05-15,V,TRS,C,Santos,(C),Palmeiras,3-0,90,2,6,3
1956,1957-05-26,E,TRS,C,Santos,(C),Fluminense,2-2,90,0,7,3
1956,1957-05-29,V,TRS,C,Santos,(F),America-RJ,0-4,90,1,8,4
1956,1957-06-01,D,TRS,C,Santos,(C),Vasco,2-3,90,1,9,5
1956,1957-07-07,D,AMI,JA,Brasil,(C),Argentina,1-2,45,1,10,6
1956,1957-07-10,V,AMI,JA,Brasil,(C),Argentina,2-0,90,1,11,7
1956,1957-07-14,V,SP1,1F,Santos,(C),XV de Piracicaba,5-3,90,1,12,8
1956,1957-07-21,D,SP1,1F,Santos,(F),Corinthians,2-1,90,0,13,8
1956,1957-07-25,V,SP1,1F,Santos,(C),Ponte Preta,7-2,90,3,14,11
1956,1957-07-31,D,SP1,1F,Santos,(F),Jabaquara,6-4,90,0,15,11
1956,1957-08-04,D,SP1,1F,Santos,(F),Ferroviária,3-2,90,0,16,11
1956,1957-08-11,V,SP1,1F,Santos,(C),Botafogo-SP,4-2,90,0,17,11
1956,1957-08-15,V,SP1,1F,Santos,(C),Guarani,8-1,90,4,18,15
1956,1957-08-18,V,SP1,1F,Santos,(C),Portuguesa,5-2,90,0,19,15
1956,1957-09-08,D,SP1,1F,Santos,(C),Palmeiras,1-2,90,1,20,16
1956,1957-09-11,V,SP1,1F,Santos,(C),Nacional-SP,7-1,90,4,21,20
1956,1957-09-15,D,SP1,1F,Santos,(F),São Paulo,3-2,90,1,22,21
1956,1957-09-22,E,SP1,1F,Santos,(C),Portuguesa Santista,1-1,90,1,23,22
1956,1957-09-25,V,SP1,1F,Santos,(C),Ypiranga-SP,9-1,90,3,24,25
1956,1957-09-29,V,SP1,1F,Santos,(C),Juventus-SP,6-1,90,1,25,26
1956,1957-10-20,D,SP1,C,Santos,(F),Botafogo-SP,4-2,90,0,26,26
1956,1957-10-23,E,SP1,C,Santos,(C),Portuguesa Santista,2-2,90,0,27,26
1956,1957-10-26,V,SP1,C,Santos,(F),Palmeiras,3-4,90,1,28,27
1956,1957-11-03,E,SP1,C,Santos,(F),Corinthians,3-3,90,3,29,30
1956,1957-11-06,V,SP1,C,Santos,(C),Portuguesa,3-1,90,0,30,30
1956,1957-11-10,V,SP1,C,Santos,(F),XV de Piracicaba,0-3,90,1,31,31
1956,1957-11-17,D,SP1,C,Santos,(C),São Paulo,2-6,90,0,32,31
1956,1957-11-24,V,SP1,C,Santos,(C),Jabaquara,5-1,90,3,33,34
1956,1957-11-27,V,SP1,C,Santos,(C),XV de Piracicaba,6-2,90,2,34,36
1956,1957-12-01,V,SP1,C,Santos,(C),Portuguesa Santista,6-2,90,4,35,40
1956,1957-12-03,E,SP1,C,Santos,(F),São Paulo,2-2,90,0,36,40
1956,1957-12-08,V,SP1,C,Santos,(F),Ponte Preta,1-2,90,1,37,41
1956,1957-12-15,V,SP1,C,Santos,(F),Portuguesa,0-6,90,2,38,43
1956,1957-12-22,V,SP1,C,Santos,(C),Corinthians,1-0,90,0,39,43
1956,1957-12-28,V,SP1,C,Santos,(C),Palmeiras,4-1,90,0,40,43
1957,1958-02-26,V,TRS,C,Santos,(F),America-RJ,3-5,90,4,41,47
1957,1958-03-02,E,TRS,C,Santos,(C),Botafogo,1-1,90,0,42,47
1957,1958-03-06,V,TRS,C,Santos,(C),Palmeiras,7-6,90,1,43,48
1957,1958-03-09,D,TRS,C,Santos,(C),Flamengo,2-3,90,1,44,49
1957,1958-03-13,D,TRS,C,Santos,(F),Portuguesa,3-2,90,1,45,50
1957,1958-03-16,D,TRS,C,Santos,(F),São Paulo,4-2,90,0,46,50
1957,1958-03-22,D,TRS,C,Santos,(F),Vasco,1-0,90,0,47,50
1957,1958-03-27,D,TRS,C,Santos,(F),Corinthians,2-1,90,1,48,51
1957,1958-05-04,V,AMI,JA,Brasil,(C),Paraguai,5-1,25,1,49,52
1957,1958-05-14,V,AMI,JA,Brasil,(C),Bulgária,4-0,n/d,0,50,52
1957,1958-05-18,V,AMI,JA,Brasil,(C),Bulgária,3-1,90,2,51,54
1957,1958-06-15,V,CM,4,Brasil,(N),União Soviética,2-0,90,0,52,54
1957,1958-06-19,V,CM,QF,Brasil,(N),País de Gales,1-0,90,1,53,55
1957,1958-06-24,V,CM,SF,Brasil,(N),França,5-2,90,3,54,58
1957,1958-06-29,V,CM,F,Brasil,(C),Suécia,5-2,90,2,55,60
1957,1958-07-16,V,SP1,C,Santos,(C),Jabaquara,7-3,90,2,56,62
1957,1958-07-20,V,SP1,C,Santos,(F),Juventus-SP,0-2,90,1,57,63
1957,1958-07-23,V,SP1,C,Santos,(C),XV de Piracicaba,6-0,90,4,58,67
1957,1958-07-27,E,SP1,C,Santos,(F),Botafogo-SP,2-2,90,2,59,69
1957,1958-07-31,E,SP1,C,Santos,(F),Comercial Paulistano,1-1,90,1,60,70
1957,1958-08-03,E,SP1,C,Santos,(F),América-SP,0-0,90,0,61,70
1957,1958-08-06,V,SP1,C,Santos,(C),Portuguesa,4-3,90,1,62,71
1957,1958-08-10,D,SP1,C,Santos,(F),Noroeste,1-0,90,0,63,71
1957,1958-08-13,V,SP1,C,Santos,(C),Ferroviária,4-3,90,1,64,72
1957,1958-08-17,V,SP1,C,Santos,(C),São Paulo,1-0,90,1,65,73
1957,1958-08-20,V,SP1,C,Santos,(C),Ponte Preta,4-0,90,1,66,74
1957,1958-08-24,V,SP1,C,Santos,(F),Palmeiras,0-1,90,0,67,74
1957,1958-08-28,V,SP1,C,Santos,(C),XV de Jaú,5-2,90,1,68,75
1957,1958-08-31,V,SP1,C,Santos,(C),Portuguesa Santista,2-1,90,0,69,75
1957,1958-09-04,V,SP1,C,Santos,(C),Taubaté,3-0,90,1,70,76
1957,1958-09-07,V,SP1,C,Santos,(F),Ypiranga-SP,1-4,90,0,71,76
1957,1958-09-11,V,SP1,C,Santos,(C),Nacional-SP,10-0,90,4,72,80
1957,1958-09-14,V,SP1,C,Santos,(F),Corinthians,0-1,90,1,73,81
1957,1958-09-17,V,SP1,C,Santos,(C),Guarani,8-1,90,1,74,82
1957,1958-10-01,V,SP1,C,Santos,(C),Ypiranga-SP,8-1,90,5,75,87
1957,1958-10-05,D,SP1,C,Santos,(F),Taubaté,3-2,90,0,76,87
1957,1958-10-11,V,SP1,C,Santos,(C),Noroeste,3-0,90,0,77,87
1957,1958-10-15,V,SP1,C,Santos,(C),Portuguesa Santista,6-1,90,3,78,90
1957,1958-10-19,V,SP1,C,Santos,(F),XV de Piracicaba,0-5,90,2,79,92
1957,1958-10-22,V,SP1,C,Santos,(C),Jabaquara,6-2,90,3,80,95
1957,1958-10-26,V,SP1,C,Santos,(C),Botafogo-SP,4-0,90,3,81,98
1957,1958-10-29,E,SP1,C,Santos,(F),Portuguesa,1-1,90,0,82,98
1957,1958-11-01,E,SP1,C,Santos,(F),XV de Jaú,0-0,90,0,83,98
1957,1958-11-05,V,SP1,C,Santos,(C),América-SP,3-1,90,1,84,99
1957,1958-11-09,D,SP1,C,Santos,(F),Ferroviária,2-1,90,0,85,99
1957,1958-11-16,V,SP1,C,Santos,(C),Palmeiras,2-1,90,1,86,100
1957,1958-11-19,V,SP1,C,Santos,(C),Comercial Paulistano,9-1,90,4,87,104
1957,1958-11-23,V,SP1,C,Santos,(F),Ponte Preta,1-2,90,0,88,104
1957,1958-11-30,V,SP1,C,Santos,(F),Nacional-SP,3-4,90,1,89,105
1957,1958-12-07,V,SP1,C,Santos,(C),Corinthians,6-1,90,4,90,109
1957,1958-12-09,V,SP1,C,Santos,(C),Juventus-SP,7-1,90,3,91,112
1957,1958-12-14,V,SP1,C,Santos,(F),Guarani,1-7,90,4,92,116
1957,1958-12-18,E,SP1,C,Santos,(F),São Paulo,2-2,90,2,93,118
1958,1959-03-10,E,CA,C,Brasil,(N),Peru,2-2,69,1,94,119
1958,1959-03-15,V,CA,C,Brasil,(N),Chile,3-0,90,2,95,121
1958,1959-03-21,V,CA,C,Brasil,(N),Bolívia,4-2,90,1,96,122
1958,1959-03-26,V,CA,C,Brasil,(N),Uruguai,3-1,90,0,97,122
1958,1959-03-29,V,CA,C,Brasil,(N),Paraguai,4-1,90,3,98,125
1958,1959-04-04,E,CA,C,Brasil,(F),Argentina,1-1,90,1,99,126
1958,1959-04-09,V,TRS,C,Santos,(F),Botafogo,2-4,90,1,100,127
1958,1959-04-12,V,TRS,C,Santos,(C),Flamengo,3-2,90,1,101,128
1958,1959-04-18,E,TRS,C,Santos,(C),Fluminense,1-1,90,0,102,128
1958,1959-04-21,V,TRS,C,Santos,(C),Portuguesa,2-0,90,0,103,128
1958,1959-04-26,V,TRS,C,Santos,(C),São Paulo,4-3,90,2,104,130
1958,1959-04-30,V,TRS,C,Santos,(C),Corinthians,3-2,90,1,105,131
1958,1959-05-13,V,AMI,JA,Brasil,(C),Inglaterra,2-0,90,0,106,131
1958,1959-05-17,V,TRS,C,Santos,(C),Vasco,3-0,90,1,107,132
1958,1959-07-23,V,SP1,C,Santos,(C),Jabaquara,7-0,90,1,108,133
1958,1959-07-26,V,SP1,C,Santos,(C),XV de Jaú,8-2,90,3,109,136
1958,1959-08-02,V,SP1,C,Santos,(F),Juventus-SP,0-4,90,3,110,139
1958,1959-08-16,E,SP1,C,Santos,(F),Taubaté,1-1,90,1,111,140
1958,1959-08-19,E,SP1,C,Santos,(C),Ferroviária,0-0,90,0,112,140
1958,1959-08-23,V,SP1,C,Santos,(F),Noroeste,3-4,90,3,113,143
1958,1959-08-26,V,SP1,C,Santos,(F),Corinthians,2-3,90,1,114,144
1958,1959-08-30,V,SP1,C,Santos,(F),América-SP,2-3,90,1,115,145
1958,1959-09-07,V,SP1,C,Santos,(C),Portuguesa,5-0,90,3,116,148
1958,1959-09-10,V,SP1,C,Santos,(C),Guarani,4-1,90,2,117,150
1958,1959-09-13,V,SP1,C,Santos,(F),Botafogo-SP,1-3,90,1,118,151
1958,1959-09-17,V,AMI,JA,Brasil,(C),Chile,7-0,n/d,3,119,154
1958,1959-09-20,V,AMI,JA,Brasil,(C),Chile,1-0,90,0,120,154
1958,1959-09-27,D,SP1,C,Santos,(F),São Paulo,2-1,90,0,121,154
1958,1959-10-01,V,SP1,C,Santos,(F),Comercial Paulistano,1-3,90,0,122,154
1958,1959-10-03,V,SP1,C,Santos,(C),Palmeiras,7-3,90,3,123,157
1958,1959-10-14,V,SP1,C,Santos,(C),América-SP,8-0,90,4,124,161
1958,1959-10-25,V,SP1,C,Santos,(F),XV de Piracicaba,2-5,90,2,125,163
1958,1959-10-29,V,SP1,C,Santos,(C),Noroeste,6-1,90,0,126,163
1958,1959-11-01,V,SP1,C,Santos,(F),Comercial,2-6,90,1,127,164
1958,1959-11-04,V,SP1,C,Santos,(C),Comercial Paulistano,4-2,90,1,128,165
1958,1959-11-08,D,SP1,C,Santos,(F),XV de Jaú,1-0,90,0,129,165
1958,1959-11-11,V,SP1,C,Santos,(C),Juventus-SP,5-1,90,2,130,167
1958,1959-11-15,V,SP1,C,Santos,(F),Nacional-SP,0-4,90,2,131,169
1958,1959-11-17,V,TB,SF,Santos,(C),Grêmio,4-1,90,0,132,169
1958,1959-11-22,V,SP1,C,Santos,(F),Portuguesa,1-5,90,3,133,172
1958,1959-11-25,E,TB,SF,Santos,(F),Grêmio,0-0,90,0,134,172
1958,1959-11-29,D,SP1,C,Santos,(F),Palmeiras,5-1,90,1,135,173
1958,1959-12-06,V,SP1,C,Santos,(F),Ferroviária,2-5,90,2,136,175
1958,1959-12-10,D,TB,F,Santos,(C),Bahia,2-3,90,1,137,176
1958,1959-12-13,V,SP1,C,Santos,(C),São Paulo,4-3,90,2,138,178
1958,1959-12-20,D,SP1,C,Santos,(F),Guarani,3-2,90,0,139,178
1958,1959-12-23,V,SP1,C,Santos,(C),Taubaté,2-0,90,0,140,178
1958,1959-12-27,V,SP1,C,Santos,(C),Corinthians,4-1,90,2,141,180
1958,1959-12-30,V,TB,F,Santos,(F),Bahia,0-2,90,1,142,181
1958,1960-01-05,E,SP1,F,Santos,(F),Palmeiras,1-1,90,1,143,182
1958,1960-01-07,E,SP1,F,Santos,(F),Palmeiras,2-2,90,0,144,182
1959,1960-01-10,D,SP1,F,Santos,(F),Palmeiras,2-1,90,1,145,183
1959,1960-04-19,E,TRS,C,Santos,(C),Portuguesa,2-2,90,0,146,183
1959,1960-04-21,E,TRS,C,Santos,(F),São Paulo,1-1,90,0,147,183
1959,1960-04-24,E,TRS,C,Santos,(F),Vasco,0-0,90,0,148,183
1959,1960-04-29,V,AMI,JA,Brasil,(F),Egito,0-5,90,0,149,183
1959,1960-05-01,V,AMI,JA,Brasil,(F),Egito,1-3,n/d,3,150,186
1959,1960-05-06,V,AMI,JA,Brasil,(F),Egito,0-3,n/d,0,151,186
1959,1960-05-10,V,AMI,JA,Brasil,(F),Dinamarca,3-4,90,0,152,186
1959,1960-07-09,D,AMI,JA,Brasil,(F),Uruguai,1-0,n/d,0,153,186
1959,1960-07-12,V,AMI,JA,Brasil,(C),Argentina,5-1,n/d,1,154,187
1959,1960-07-17,V,SP1,C,Santos,(C),Ponte Preta,6-3,90,1,155,188
1959,1960-07-21,E,SP1,C,Santos,(F),Portuguesa,1-1,90,0,156,188
1959,1960-07-24,E,SP1,C,Santos,(F),Guarani,2-2,90,0,157,188
1959,1960-07-27,V,SP1,C,Santos,(C),Jabaquara,8-3,90,3,158,191
1959,1960-07-31,E,SP1,C,Santos,(C),Corinthians,1-1,90,1,159,192
1959,1960-08-03,V,SP1,C,Santos,(C),Botafogo-SP,5-1,90,1,160,193
1959,1960-08-07,D,SP1,C,Santos,(F),Comercial,2-0,90,0,161,193
1959,1960-08-10,V,SP1,C,Santos,(C),Noroeste,4-1,90,3,162,196
1959,1960-08-14,V,SP1,C,Santos,(F),EC Corinthians,0-1,90,1,163,197
1959,1960-08-21,V,SP1,C,Santos,(F),Palmeiras,1-3,90,1,164,198
1959,1960-08-31,E,SP1,C,Santos,(C),São Paulo,1-1,90,0,165,198
1959,1960-09-04,D,SP1,C,Santos,(F),Ferroviária,4-0,90,0,166,198
1959,1960-09-08,E,SP1,C,Santos,(C),Portuguesa Santista,0-0,90,0,167,198
1959,1960-09-11,E,SP1,C,Santos,(F),XV de Piracicaba,0-0,90,0,168,198
1959,1960-09-15,V,SP1,C,Santos,(C),Juventus-SP,5-2,90,3,169,201
1959,1960-09-17,D,SP1,C,Santos,(F),América-SP,1-0,90,0,170,201
1959,1960-09-21,V,SP1,C,Santos,(C),Jabaquara,3-2,90,0,171,201
1959,1960-09-24,V,SP1,C,Santos,(F),Juventus-SP,1-3,90,2,172,203
1959,1960-09-28,D,SP1,C,Santos,(C),Portuguesa,3-4,90,1,173,204
1959,1960-10-23,V,SP1,C,Santos,(F),Ponte Preta,1-4,90,1,174,205
1959,1960-11-06,V,SP1,C,Santos,(C),XV de Piracicaba,2-0,90,2,175,207
1959,1960-11-09,V,SP1,C,Santos,(F),Portuguesa Santista,0-1,90,1,176,208
1959,1960-11-13,V,SP1,C,Santos,(F),Noroeste,1-3,90,2,177,210
1959,1960-11-20,V,SP1,C,Santos,(F),Botafogo-SP,2-4,90,1,178,211
1959,1960-11-23,V,SP1,C,Santos,(C),EC Corinthians,5-0,90,1,179,212
1959,1960-11-30,V,SP1,C,Santos,(F),Corinthians,1-6,90,1,180,213
1959,1960-12-04,V,SP1,C,Santos,(F),Taubaté,1-6,90,2,181,215
1959,1960-12-07,V,SP1,C,Santos,(C),Ferroviária,5-0,90,3,182,218
1959,1960-12-11,D,SP1,C,Santos,(F),São Paulo,2-1,90,0,183,218
1959,1960-12-17,V,SP1,C,Santos,(C),Palmeiras,2-1,90,1,184,219
1960,1961-03-02,V,TRS,B,Santos,(C),Vasco,5-1,90,0,185,219
1960,1961-03-05,V,TRS,B,Santos,(F),Fluminense,1-3,90,2,186,221
1960,1961-03-11,V,TRS,B,Santos,(F),Flamengo,1-7,90,3,187,224
1960,1961-03-15,V,TRS,A,Santos,(C),São Paulo,1-0,90,0,188,224
1960,1961-04-01,V,TRS,B,Santos,(C),Botafogo,4-2,90,2,189,226
1960,1961-04-10,V,TRS,B,Santos,(C),America-RJ,6-1,90,1,190,227
1960,1961-04-13,D,TRS,F,Santos,(F),Vasco,2-1,90,0,191,227
1960,1961-07-23,E,SP1,C,Santos,(F),Taubaté,0-0,90,0,192,227
1960,1961-07-30,V,SP1,C,Santos,(C),Palmeiras,2-1,90,0,193,227
1960,1961-08-06,V,SP1,C,Santos,(C),Jabaquara,4-0,90,1,194,228
1960,1961-08-09,V,SP1,C,Santos,(C),Guarani,3-1,90,1,195,229
1960,1961-08-13,V,SP1,C,Santos,(F),Noroeste,1-7,90,3,196,232
1960,1961-08-16,V,SP1,C,Santos,(F),Corinthians,1-5,90,1,197,233
1960,1961-08-19,V,SP1,C,Santos,(C),XV de Piracicaba,6-1,90,3,198,236
1960,1961-09-03,V,SP1,C,Santos,(F),São Paulo,3-6,90,4,199,240
1960,1961-09-06,V,SP1,C,Santos,(C),Juventus-SP,10-1,90,5,200,245
1960,1961-09-10,V,SP1,C,Santos,(F),Botafogo-SP,0-3,90,1,201,246
1960,1961-09-13,V,SP1,C,Santos,(C),Esportiva Guaratinguetá,5-1,90,4,202,250
1960,1961-09-17,V,SP1,C,Santos,(C),Portuguesa,6-1,90,4,203,254
1960,1961-10-15,V,SP1,C,Santos,(C),Botafogo-SP,4-1,90,1,204,255
1960,1961-10-18,V,SP1,C,Santos,(C),Portuguesa Santista,5-2,90,2,205,257
1960,1961-10-22,V,SP1,C,Santos,(F),Guarani,1-2,90,0,206,257
1960,1961-10-28,V,SP1,C,Santos,(F),Portuguesa,1-3,90,2,207,259
1960,1961-11-01,V,SP1,C,Santos,(F),Juventus-SP,1-3,90,1,208,260
1960,1961-11-04,V,SP1,C,Santos,(C),Taubaté,4-2,90,1,209,261
1960,1961-11-08,V,SP1,C,Santos,(F),Esportiva Guaratinguetá,0-4,90,3,210,264
1960,1961-11-11,V,TB,SF,Santos,(F),America-RJ,2-6,90,2,211,266
1960,1961-11-19,D,TB,SF,Santos,(C),America-RJ,0-1,90,0,212,266
1960,1961-11-21,V,TB,SF,Santos,(C),America-RJ,6-1,90,2,213,268
1960,1961-11-26,V,SP1,C,Santos,(F),Comercial,1-4,90,1,214,269
1960,1961-11-29,D,SP1,C,Santos,(F),Palmeiras,3-2,90,1,215,270
1960,1961-12-03,E,SP1,C,Santos,(C),Corinthians,1-1,90,0,216,270
1960,1961-12-06,V,SP1,C,Santos,(C),Noroeste,4-2,90,2,217,272
1960,1961-12-10,V,SP1,C,Santos,(F),XV de Piracicaba,2-7,90,3,218,275
1960,1961-12-13,V,SP1,C,Santos,(C),Ferroviária,6-2,90,2,219,277
1960,1961-12-16,V,SP1,C,Santos,(C),São Paulo,4-1,90,1,220,278
1960,1961-12-22,E,TB,F,Santos,(F),Bahia,1-1,90,0,221,278
1960,1961-12-27,V,TB,F,Santos,(C),Bahia,5-1,90,3,222,281
1961,1962-02-18,V,CL,1,Santos,(F),Dep. Municipal,3-4,90,0,223,281
1961,1962-02-21,V,CL,1,Santos,(C),Dep. Municipal,6-1,45,0,224,281
1961,1962-02-28,V,CL,1,Santos,(C),Cerro Porteño,9-1,58,2,225,283
1961,1962-04-21,V,AMI,JA,Brasil,(C),Paraguai,6-0,90,1,226,284
1961,1962-04-24,V,AMI,JA,Brasil,(C),Paraguai,4-0,n/d,2,227,286
1961,1962-05-06,V,AMI,JA,Brasil,(C),Portugal,2-1,90,0,228,286
1961,1962-05-09,V,AMI,JA,Brasil,(C),Portugal,1-0,90,1,229,287
1961,1962-05-12,V,AMI,JA,Brasil,(C),País de Gales,3-1,90,1,230,288
1961,1962-05-16,V,AMI,JA,Brasil,(C),País de Gales,3-1,90,2,231,290
1961,1962-05-30,V,CM,3,Brasil,(N),México,2-0,90,1,232,291
1961,1962-06-02,E,CM,3,Brasil,(N),Tchecoslováquia,0-0,90,0,233,291
1961,1962-08-05,V,SP1,C,Santos,(F),Prudentina,0-2,90,1,234,292
1961,1962-08-08,V,SP1,C,Santos,(F),Juventus-SP,0-2,90,0,235,292
1961,1962-08-12,V,SP1,C,Santos,(F),Palmeiras,2-4,90,1,236,293
1961,1962-08-19,V,SP1,C,Santos,(F),Jabaquara,1-5,90,3,237,296
