epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
1984,1985-02-06,V,D1,A,Vasco,(C),Coritiba,3-0,22,0,1,0
1984,1985-02-10,V,D1,A,Vasco,(F),America-RJ,1-2,n/d,0,2,0
1984,1985-02-13,E,D1,A,Vasco,(C),Santa Cruz,1-1,75,0,3,0
1984,1985-03-03,D,D1,A,Vasco,(C),Botafogo,1-3,n/d,0,4,0
1984,1985-03-20,E,D1,A,Vasco,(F),Coritiba,0-0,10,0,5,0
1984,1985-07-14,E,D1,H,Vasco,(F),Internacional,2-2,12,0,6,0
1984,1985-07-17,D,D1,H,Vasco,(C),Bangu,1-3,30,0,7,0
1984,1985-08-25,V,RJ1,1T,Vasco,(C),Portuguesa-RJ,5-2,90,3,8,3
1984,1985-09-08,V,RJ1,1T,Vasco,(F),Bonsucesso,0-2,90,1,9,4
1984,1985-09-11,V,RJ1,1T,Vasco,(C),Olaria,2-0,90,1,10,5
1984,1985-09-21,E,RJ1,1T,Vasco,(C),Bangu,1-1,90,1,11,6
1984,1985-09-28,V,RJ1,1T,Vasco,(C),America-RJ,2-0,90,1,12,7
1984,1985-10-10,V,RJ1,1T,Vasco,(C),Flamengo,4-0,90,1,13,8
1984,1985-10-30,V,RJ1,2T,Vasco,(C),Volta Redonda,7-1,90,3,14,11
1985,1986-02-16,V,RJ1,1T,Vasco,(C),Goytacaz,6-0,90,2,15,13
1985,1986-03-02,V,RJ1,1T,Vasco,(C),Portuguesa-RJ,7-1,90,4,16,17
1985,1986-03-16,V,RJ1,1T,Vasco,(C),America-RJ,2-1,90,1,17,18
1985,1986-03-20,V,RJ1,1T,Vasco,(F),Campo Grande-RJ,0-3,90,2,18,20
1985,1986-03-23,V,RJ1,1T,Vasco,(F),Olaria,0-2,90,1,19,21
1985,1986-04-20,V,RJ1,1T,Vasco,(F),Flamengo,0-2,90,2,20,23
1985,1986-04-27,V,RJ1,2T,Vasco,(F),Botafogo,2-3,90,2,21,25
1985,1986-05-04,V,RJ1,2T,Vasco,(C),Campo Grande-RJ,2-0,90,1,22,26
1985,1986-05-18,D,RJ1,2T,Vasco,(C),America-RJ,1-2,90,1,23,27
1985,1986-05-21,V,RJ1,2T,Vasco,(C),Olaria,4-0,90,2,24,29
1985,1986-05-25,V,RJ1,2T,Vasco,(F),Mesquita,0-1,90,1,25,30
