epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
1992,1993-05-25,V,MG1,A,Cruzeiro,(F),Caldense,0-1,90,0,1,0
1992,1993-09-07,D,D1,A,Cruzeiro,(C),Corinthians,0-2,90,0,2,0
1992,1993-09-12,V,D1,A,Cruzeiro,(F),Bahia,1-3,n/d,1,3,1
1992,1993-09-18,D,D1,A,Cruzeiro,(C),Flamengo,1-2,90,1,4,2
1992,1993-09-26,E,D1,A,Cruzeiro,(F),São Paulo,0-0,90,0,5,2
1992,1993-09-29,E,RS,F,Cruzeiro,(C),São Paulo,0-0 (2-4)g.p.,120,0,6,2
1992,1993-10-03,D,D1,A,Cruzeiro,(F),Internacional,3-0,90,0,7,2
1992,1993-10-06,V,SCL,1F,Cruzeiro,(C),Colo-Colo,6-1,90,3,8,5
1992,1993-10-06,D,D1,A,Cruzeiro,(F),Red Bull Bragantino,1-0,n/d,0,9,5
1992,1993-10-09,V,D1,A,Cruzeiro,(C),Botafogo,3-0,90,1,10,6
1992,1993-10-13,E,SCL,1F,Cruzeiro,(F),Colo-Colo,3-3,90,2,11,8
1992,1993-10-17,V,D1,A,Cruzeiro,(F),Botafogo,0-1,90,1,12,9
1992,1993-10-20,D,SCL,2F,Cruzeiro,(C),Nacional,1-2,90,1,13,10
1992,1993-10-24,D,D1,A,Cruzeiro,(F),Flamengo,2-1,n/d,0,14,10
1992,1993-10-27,V,SCL,2F,Cruzeiro,(F),Nacional,2-3 (4-2)g.p.,120,2,15,12
1992,1993-10-31,V,D1,A,Cruzeiro,(C),Red Bull Bragantino,1-0,90,1,16,13
1992,1993-11-05,E,D1,A,Cruzeiro,(C),São Paulo,1-1,90,1,17,14
1992,1993-11-07,V,D1,A,Cruzeiro,(C),Bahia,6-0,90,5,18,19
1992,1993-11-10,D,D1,A,Cruzeiro,(F),Corinthians,2-1,90,0,19,19
1992,1993-11-14,V,D1,A,Cruzeiro,(C),Internacional,4-1,90,1,20,20
1993,1994-01-30,V,MG1,R1,Cruzeiro,(F),Villa Nova-MG,2-4,90,1,21,21
1993,1994-02-02,E,MG1,R8,Cruzeiro,(C),Democrata-GV,0-0,90,0,22,21
1993,1994-02-05,V,MG1,R2,Cruzeiro,(C),Mamoré,2-0,90,1,23,22
1993,1994-02-20,V,MG1,R5,Cruzeiro,(C),Valeriodoce,4-2,90,2,24,24
1993,1994-02-23,V,MG1,R4,Cruzeiro,(F),Atl. Três Corações,0-2,90,2,25,26
1993,1994-02-25,V,MG1,R6,Cruzeiro,(F),Alfenense,0-3,90,2,26,28
1993,1994-02-27,V,MG1,R7,Cruzeiro,(F),Uberlândia,0-1,90,1,27,29
1993,1994-03-02,D,CL,2,Cruzeiro,(F),Palmeiras,2-0,90,0,28,29
1993,1994-03-06,V,MG1,R9,Cruzeiro,(F),Atlético Mineiro,1-3,90,3,29,32
1993,1994-03-08,E,CL,2,Cruzeiro,(C),Vélez Sarsfield,1-1,90,1,30,33
1993,1994-03-13,V,MG1,R10,Cruzeiro,(C),América Mineiro,2-0,n/d,0,31,33
1993,1994-03-16,V,CL,2,Cruzeiro,(F),Boca Juniors,1-2,90,0,32,33
1993,1994-03-23,V,AMI,JA,Brasil,(C),Argentina,2-0,10,0,33,33
1993,1994-03-25,V,CL,2,Cruzeiro,(C),Palmeiras,2-1,80,0,34,33
1993,1994-03-27,V,MG1,R12,Cruzeiro,(C),Villa Nova-MG,8-0,90,2,35,35
1993,1994-03-31,D,CL,2,Cruzeiro,(F),Vélez Sarsfield,2-0,90,0,36,35
1993,1994-04-03,E,MG1,R13,Cruzeiro,(F),Mamoré,1-1,90,1,37,36
1993,1994-04-06,V,CL,2,Cruzeiro,(C),Boca Juniors,2-1,90,1,38,37
1993,1994-04-10,V,MG1,R15,Cruzeiro,(C),Atl. Três Corações,4-1,90,0,39,37
1993,1994-04-13,V,MG1,R3,Cruzeiro,(C),Caldense,3-1,90,2,40,39
1993,1994-04-17,E,MG1,R16,Cruzeiro,(F),Valeriodoce,1-1,90,0,41,39
1993,1994-04-21,D,CL,1/8,Cruzeiro,(F),Unión Española,1-0,90,0,42,39
1993,1994-04-24,V,MG1,R18,Cruzeiro,(C),Uberlândia,4-0,90,3,43,42
1993,1994-04-28,E,CL,1/8,Cruzeiro,(C),Unión Española,0-0,90,0,44,42
1993,1994-05-01,E,MG1,R20,Cruzeiro,(C),Atlético Mineiro,1-1,90,0,45,42
1993,1994-05-03,V,AMI,JA,Brasil,(C),Islândia,3-0,90,1,46,43
1993,1994-05-08,V,MG1,R21,Cruzeiro,(F),América Mineiro,1-6,90,1,47,44
1993,1994-05-15,V,MG1,R22,Cruzeiro,(C),CA Patrocinense,1-0,90,1,48,45
1993,1994-06-07,V,AMI,JA,Brasil,(C),Honduras,8-2,29,0,49,45
1994,1994-08-28,V,D1,R1,PSV,(F),Vitesse,2-4,86,1,50,46
1994,1994-08-31,V,D1,R1,PSV,(C),Go Ahead Eagles,4-1,77,2,51,48
1994,1994-09-13,D,EL,1R,PSV,(F),Bayer Leverkusen,5-4,80,3,52,51
1994,1994-09-17,V,D1,R3,PSV,(C),FC Dordrecht,4-0,75,0,53,51
1994,1994-09-21,E,D1,R4,PSV,(F),Sparta Rotterdam,1-1,90,1,54,52
1994,1994-09-27,E,EL,1R,PSV,(C),Bayer Leverkusen,0-0,90,0,55,52
1994,1994-10-05,V,KNVB,1R,PSV,(C),Roda,3-2 (a.p.),120,2,56,54
1994,1994-10-15,V,D1,R7,PSV,(C),Heerenveen,3-1,90,1,57,55
1994,1994-10-23,D,D1,R8,PSV,(C),Ajax,1-4,90,0,58,55
1994,1994-10-26,D,D1,R9,PSV,(F),Willem II,2-1,90,0,59,55
1994,1994-10-29,V,D1,R9,PSV,(C),FC Groningen,5-0,90,1,60,56
1994,1994-11-01,D,D1,R10,PSV,(F),Roda,3-0,90,0,61,56
1994,1994-11-06,V,D1,R11,PSV,(F),FC Utrecht,1-2,90,1,62,57
1994,1994-11-09,V,D1,R11,PSV,(C),MVV,4-0,90,2,63,59
1994,1994-11-19,E,D1,R12,PSV,(F),FC Volendam,0-0,90,0,64,59
